model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,model
r50_dynamic_grl,42,Nodule,22294,1280,21014,0.7,0.7694457601182545,0.2260567919045044,0.41875,0.41875,0.58125,0.9135814219092034,0.9135814219092034,0.0864185780907966,536,1816,19198,744,Standard Dynamic GRL
r50_dynamic_grl,42,Mass,22294,1076,21218,0.8749999999999999,0.8302325417396536,0.299353412594659,0.3280669144981412,0.3280669144981412,0.6719330855018587,0.9745499104533888,0.9745499104533888,0.0254500895466113,353,540,20678,723,Standard Dynamic GRL
r50_dynamic_grl,42,Pneumothorax,22294,1020,21274,0.72,0.8690192806463566,0.3071002325174858,0.5088235294117647,0.5088235294117647,0.4911764705882352,0.9477766287487074,0.9477766287487074,0.0522233712512926,519,1111,20163,501,Standard Dynamic GRL
r50_dynamic_grl,42,Consolidation,22294,951,21343,0.7499999999999999,0.8105810000427153,0.1503374299042495,0.3680336487907465,0.3680336487907465,0.6319663512092534,0.9224101578972028,0.9224101578972028,0.0775898421027971,350,1656,19687,601,Standard Dynamic GRL
r50_dynamic_grl,123,Infiltration,22294,4097,18197,0.5149999999999999,0.6985668230147183,0.3444438322544425,0.5228215767634855,0.5228215767634855,0.4771784232365145,0.7591910754519976,0.7591910754519976,0.2408089245480024,2142,4382,13815,1955,Standard Dynamic GRL
r50_dynamic_grl,123,Effusion,22294,2553,19741,0.69,0.8706578332770125,0.4945915791954718,0.6392479435957696,0.6392479435957696,0.3607520564042303,0.8908363304797122,0.8908363304797122,0.1091636695202877,1632,2155,17586,921,Standard Dynamic GRL
r50_dynamic_grl,123,Atelectasis,22294,2207,20087,0.565,0.8080024300274773,0.3414569217950243,0.5555052106932488,0.5555052106932488,0.4444947893067512,0.8594115597152387,0.8594115597152387,0.1405884402847612,1226,2824,17263,981,Standard Dynamic GRL
r50_dynamic_grl,123,Nodule,22294,1280,21014,0.705,0.7660087471447606,0.2271638034005989,0.3328125,0.3328125,0.6671875,0.9469877224707338,0.9469877224707338,0.0530122775292662,426,1114,19900,854,Standard Dynamic GRL
r50_dynamic_grl,123,Mass,22294,1076,21218,0.82,0.8355018149351343,0.2896883062489964,0.3894052044609665,0.3894052044609665,0.6105947955390335,0.9606937505891224,0.9606937505891224,0.0393062494108775,419,834,20384,657,Standard Dynamic GRL
r50_dynamic_grl,123,Pneumothorax,22294,1020,21274,0.84,0.8572815569774023,0.2823371278832016,0.4019607843137255,0.4019607843137255,0.5980392156862745,0.9644636645670772,0.9644636645670772,0.0355363354329228,410,756,20518,610,Standard Dynamic GRL
r50_dynamic_grl,123,Consolidation,22294,951,21343,0.725,0.8080721309591924,0.1394660827983142,0.3764458464773922,0.3764458464773922,0.6235541535226078,0.9085414421590216,0.9085414421590216,0.0914585578409783,358,1952,19391,593,Standard Dynamic GRL
r50_dynamic_grl,2026,Infiltration,22294,4097,18197,0.585,0.7064255026574411,0.3462440552418747,0.4652184525262387,0.4652184525262387,0.5347815474737613,0.8222234434247403,0.8222234434247403,0.1777765565752596,1906,3235,14962,2191,Standard Dynamic GRL
r50_dynamic_grl,2026,Effusion,22294,2553,19741,0.6799999999999999,0.8739584096620766,0.4904312624989465,0.6310223266745005,0.6310223266745005,0.3689776733254994,0.8963071779545109,0.8963071779545109,0.103692822045489,1611,2047,17694,942,Standard Dynamic GRL
r50_dynamic_grl,2026,Atelectasis,22294,2207,20087,0.6449999999999999,0.8059685271651008,0.3364506926125514,0.4852741277752605,0.4852741277752605,0.5147258722247394,0.8873898541345149,0.8873898541345149,0.1126101458654851,1071,2262,17825,1136,Standard Dynamic GRL
r50_dynamic_grl,2026,Nodule,22294,1280,21014,0.725,0.7533800754853908,0.2244447396916828,0.4171875,0.4171875,0.5828125,0.9048729418482916,0.9048729418482916,0.0951270581517083,534,1999,19015,746,Standard Dynamic GRL
r50_dynamic_grl,2026,Mass,22294,1076,21218,0.8699999999999999,0.8379639306389574,0.2899414541118136,0.4386617100371747,0.4386617100371747,0.5613382899628253,0.9545197473842963,0.9545197473842963,0.0454802526157036,472,965,20253,604,Standard Dynamic GRL
r50_dynamic_grl,2026,Pneumothorax,22294,1020,21274,0.8049999999999999,0.8648409547141223,0.2916334654958844,0.4617647058823529,0.4617647058823529,0.538235294117647,0.9529002538309672,0.9529002538309672,0.0470997461690326,471,1002,20272,549,Standard Dynamic GRL
r50_dynamic_grl,2026,Consolidation,22294,951,21343,0.6699999999999999,0.808453218137109,0.1447598308068594,0.3995793901156677,0.3995793901156677,0.6004206098843323,0.9016539380593168,0.9016539380593168,0.0983460619406831,380,2099,19244,571,Standard Dynamic GRL
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Infiltration,22294,4097,18197,0.5049999999999999,0.7067041295353624,0.3438365233304444,0.5960458872345619,0.5960458872345619,0.4039541127654381,0.7051711820629775,0.7051711820629775,0.2948288179370226,2442,5365,12832,1655,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Effusion,22294,2553,19741,0.7499999999999999,0.8743014338860987,0.4920490774612053,0.5965530748139444,0.5965530748139444,0.4034469251860556,0.9085659287776708,0.9085659287776708,0.0914340712223291,1523,1805,17936,1030,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Atelectasis,22294,2207,20087,0.7,0.8134380736050107,0.3477410410017179,0.4898051653828726,0.4898051653828726,0.5101948346171273,0.8947080201125106,0.8947080201125106,0.1052919798874894,1081,2115,17972,1126,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Nodule,22294,1280,21014,0.715,0.770277181283906,0.2273996263808212,0.38359375,0.38359375,0.61640625,0.9274293328257353,0.9274293328257353,0.0725706671742647,491,1525,19489,789,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Mass,22294,1076,21218,0.7799999999999999,0.8375167669941457,0.2926087119844101,0.4488847583643122,0.4488847583643122,0.5511152416356877,0.9486756527476672,0.9486756527476672,0.0513243472523329,483,1089,20129,593,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Pneumothorax,22294,1020,21274,0.6599999999999999,0.8685999848844304,0.3245417928999296,0.5392156862745098,0.5392156862745098,0.4607843137254901,0.9409607972172606,0.9409607972172606,0.0590392027827395,550,1256,20018,470,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Consolidation,22294,951,21343,0.7499999999999999,0.809197877755806,0.1471437519682242,0.4248159831756046,0.4248159831756046,0.5751840168243953,0.9023098908307172,0.9023098908307172,0.0976901091692826,404,2085,19258,547,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Infiltration,22294,4097,18197,0.4949999999999999,0.7104156112389626,0.3461844810194257,0.6236270441786673,0.6236270441786673,0.3763729558213327,0.6782436665384404,0.6782436665384404,0.3217563334615596,2555,5855,12342,1542,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Effusion,22294,2553,19741,0.7699999999999999,0.8735515247563665,0.4967471206251914,0.5581668625146886,0.5581668625146886,0.4418331374853114,0.9208753355959678,0.9208753355959678,0.0791246644040322,1425,1562,18179,1128,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Atelectasis,22294,2207,20087,0.6799999999999999,0.8132547861749284,0.3479850657672428,0.5410058903488899,0.5410058903488899,0.4589941096511101,0.8690197640264848,0.8690197640264848,0.1309802359735152,1194,2631,17456,1013,Final Dynamic
