model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group,model
r50_static_grl,2026,Nodule,9553,576,8977,0.72,0.7719880976693526,0.2444448869815037,0.3611111111111111,0.3611111111111111,0.6388888888888888,0.9350562548735658,0.9350562548735658,0.0649437451264342,208,583,8394,368,Female,Static GRL
r50_static_grl,2026,Nodule,12741,704,12037,0.72,0.7660324794006358,0.2154994736563859,0.4090909090909091,0.4090909090909091,0.5909090909090909,0.9184182105175708,0.9184182105175708,0.0815817894824291,288,982,11055,416,Male,Static GRL
r50_static_grl,2026,Mass,9553,423,9130,0.8949999999999999,0.8468501989906757,0.2997429834435745,0.3262411347517731,0.3262411347517731,0.6737588652482269,0.9731653888280394,0.9731653888280394,0.0268346111719605,138,245,8885,285,Female,Static GRL
r50_static_grl,2026,Mass,12741,653,12088,0.8949999999999999,0.8324822916782797,0.2847405028427072,0.3751914241960183,0.3751914241960183,0.6248085758039816,0.9611184645929848,0.9611184645929848,0.0388815354070152,245,470,11618,408,Male,Static GRL
r50_static_grl,2026,Pneumothorax,9553,574,8979,0.7599999999999999,0.8550914192736981,0.3355063963136515,0.4790940766550522,0.4790940766550522,0.5209059233449478,0.9371867691279652,0.9371867691279652,0.0628132308720347,275,564,8415,299,Female,Static GRL
r50_static_grl,2026,Pneumothorax,12741,446,12295,0.7599999999999999,0.8689727677407235,0.2269586506702312,0.4618834080717489,0.4618834080717489,0.5381165919282511,0.9542903619357462,0.9542903619357462,0.0457096380642537,206,562,11733,240,Male,Static GRL
r50_static_grl,2026,Consolidation,9553,368,9185,0.715,0.788912688457078,0.125267503457242,0.3016304347826087,0.3016304347826087,0.6983695652173914,0.9255307566684812,0.9255307566684812,0.0744692433315187,111,684,8501,257,Female,Static GRL
r50_static_grl,2026,Consolidation,12741,583,12158,0.715,0.8223186732041837,0.1646509123086662,0.3773584905660377,0.3773584905660377,0.6226415094339622,0.9224379009705544,0.9224379009705544,0.0775620990294456,220,943,11215,363,Male,Static GRL
r50_dynamic_grl,42,Infiltration,9553,1685,7868,0.5499999999999999,0.7014002555519181,0.338658488383854,0.4902077151335312,0.4902077151335312,0.5097922848664689,0.791814946619217,0.791814946619217,0.2081850533807829,826,1638,6230,859,Female,Standard Dynamic GRL
r50_dynamic_grl,42,Infiltration,12741,2412,10329,0.5499999999999999,0.7079577746212623,0.3537824162194443,0.5041459369817579,0.5041459369817579,0.4958540630182421,0.7827476038338658,0.7827476038338658,0.2172523961661341,1216,2244,8085,1196,Male,Standard Dynamic GRL
r50_dynamic_grl,42,Effusion,9553,1127,8426,0.7449999999999999,0.869668838856196,0.5015752763885881,0.6308784383318545,0.6308784383318545,0.3691215616681455,0.8954426774270117,0.8954426774270117,0.1045573225729883,711,881,7545,416,Female,Standard Dynamic GRL
r50_dynamic_grl,42,Effusion,12741,1426,11315,0.7449999999999999,0.8782866827102749,0.4890577929637908,0.6500701262272089,0.6500701262272089,0.349929873772791,0.8965974370304906,0.8965974370304906,0.1034025629695095,927,1170,10145,499,Male,Standard Dynamic GRL
r50_dynamic_grl,42,Atelectasis,9553,848,8705,0.7549999999999999,0.8041316257193329,0.3077622309895725,0.4587264150943396,0.4587264150943396,0.5412735849056604,0.8983342906375646,0.8983342906375646,0.1016657093624353,389,885,7820,459,Female,Standard Dynamic GRL
r50_dynamic_grl,42,Atelectasis,12741,1359,11382,0.7549999999999999,0.8076705806477805,0.3584744015981055,0.5084621044885945,0.5084621044885945,0.4915378955114054,0.8862238622386224,0.8862238622386224,0.1137761377613776,691,1295,10087,668,Male,Standard Dynamic GRL
r50_dynamic_grl,42,Nodule,9553,576,8977,0.7,0.7663171623779288,0.2349028888298983,0.3940972222222222,0.3940972222222222,0.6059027777777778,0.9207975938509524,0.9207975938509524,0.0792024061490475,227,711,8266,349,Female,Standard Dynamic GRL
r50_dynamic_grl,42,Nodule,12741,704,12037,0.7,0.7727303999222095,0.2211088728570834,0.4389204545454545,0.4389204545454545,0.5610795454545454,0.9081997175375924,0.9081997175375924,0.0918002824624075,309,1105,10932,395,Male,Standard Dynamic GRL
r50_dynamic_grl,42,Mass,9553,423,9130,0.8749999999999999,0.8308247820424186,0.2999195922355573,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.977656078860898,0.977656078860898,0.0223439211391018,141,204,8926,282,Female,Standard Dynamic GRL
r50_dynamic_grl,42,Mass,12741,653,12088,0.8749999999999999,0.8293144175991681,0.3017248448013317,0.3246554364471669,0.3246554364471669,0.6753445635528331,0.972203838517538,0.972203838517538,0.0277961614824619,212,336,11752,441,Male,Standard Dynamic GRL
r50_dynamic_grl,42,Pneumothorax,9553,574,8979,0.72,0.8496361816751669,0.3417638433128121,0.5418118466898955,0.5418118466898955,0.4581881533101045,0.9331774139659204,0.9331774139659204,0.0668225860340795,311,600,8379,263,Female,Standard Dynamic GRL
r50_dynamic_grl,42,Pneumothorax,12741,446,12295,0.72,0.8859103649629713,0.2650546734579617,0.4663677130044843,0.4663677130044843,0.5336322869955157,0.958438389589264,0.958438389589264,0.041561610410736,208,511,11784,238,Male,Standard Dynamic GRL
r50_dynamic_grl,42,Consolidation,9553,368,9185,0.7499999999999999,0.7917922061016306,0.1379692509189256,0.3505434782608695,0.3505434782608695,0.6494565217391305,0.923462166575939,0.923462166575939,0.0765378334240609,129,703,8482,239,Female,Standard Dynamic GRL
r50_dynamic_grl,42,Consolidation,12741,583,12158,0.7499999999999999,0.8214883394934112,0.1603258504037393,0.379073756432247,0.379073756432247,0.6209262435677531,0.9216153972692878,0.9216153972692878,0.0783846027307123,221,953,11205,362,Male,Standard Dynamic GRL
r50_dynamic_grl,123,Infiltration,9553,1685,7868,0.5149999999999999,0.6982063845739569,0.3414174381761385,0.51513353115727,0.51513353115727,0.48486646884273,0.7677935943060499,0.7677935943060499,0.2322064056939501,868,1827,6041,817,Female,Standard Dynamic GRL
r50_dynamic_grl,123,Infiltration,12741,2412,10329,0.5149999999999999,0.6982706357199705,0.3477623463525802,0.5281923714759535,0.5281923714759535,0.4718076285240464,0.7526382031174363,0.7526382031174363,0.2473617968825636,1274,2555,7774,1138,Male,Standard Dynamic GRL
